brand,year,mileage,fuel_type,transmission,engine_size,horsepower,price
Ford,2022,,Petrol,Automatic,3.0,276.0,29172
Toyota,2014,106768.0,Petrol,Manual,2.3,166.0,3500
BMW,2016,116956.0,Petrol,Automatic,1.5,114.0,19695
Mercedes-Benz,2015,132939.0,Diesel,Automatic,2.6,234.0,32008
Mercedes-Benz,2013,116953.0,Petrol,Automatic,5.0,326.0,35010
Audi,2017,162090.0,Petrol,Manual,4.0,329.0,32780
Hyundai,2023,28314.0,Petrol,Manual,2.2,193.0,20081
Ford,2014,135407.0,Hybrid,Automatic,3.6,283.0,12464
Kia,2018,161994.0,Petrol,Automatic,2.9,259.0,12666
Ford,2019,55833.0,,Manual,3.0,239.0,23700
Tesla,2019,68340.0,Petrol,Manual,1.8,178.0,39086
Honda,2019,51853.0,Petrol,Manual,3.8,313.0,29332
Chevrolet,2021,43181.0,Electric,Automatic,0.0,234.0,30642
Audi,2021,35571.0,Diesel,Automatic,3.6,357.0,59764
Chevrolet,2021,55381.0,Petrol,Manual,1.2,138.0,14194
Ford,2024,23122.0,Petrol,Automatic,1.3,141.0,25244
Hyundai,2011,91321.0,Petrol,Manual,1.4,160.0,3500
Kia,2021,50035.0,Hybrid,Manual,1.9,218.0,23934
Ford,2020,22862.0,Petrol,Automatic,4.6,424.0,43103
Nissan,2022,33988.0,Petrol,Automatic,2.6,223.0,27067
Kia,2015,112937.0,Hybrid,Automatic,5.0,389.0,27668
Hyundai,2024,37554.0,Hybrid,Automatic,2.6,220.0,36501
Toyota,2011,250474.0,Petrol,Manual,2.8,249.0,3500
Chevrolet,2021,29409.0,Diesel,Manual,4.6,268.0,28185
Chevrolet,2021,79696.0,Diesel,Automatic,2.2,174.0,26021
Toyota,2018,131766.0,Hybrid,Automatic,2.8,262.0,21044
Mercedes-Benz,2013,168336.0,Diesel,Manual,3.6,276.0,29746
Chevrolet,2024,14102.0,Petrol,Manual,2.0,172.0,27512
Toyota,2011,124660.0,Petrol,Automatic,1.2,131.0,3500
Hyundai,2016,98208.0,Petrol,Manual,4.5,,14452
BMW,2017,27030.0,Hybrid,Automatic,2.0,218.0,34807
BMW,2014,164694.0,Petrol,Automatic,1.2,129.0,14340
Ford,2012,198073.0,Electric,Manual,,360.0,3993
Mercedes-Benz,2014,204692.0,Diesel,Automatic,4.4,347.0,36412
Volkswagen,2021,118090.0,Hybrid,Manual,4.7,308.0,35259
Kia,2022,64534.0,,Automatic,3.4,327.0,33080
Volkswagen,2011,298515.0,Petrol,Manual,1.7,151.0,3500
Honda,2023,40945.0,Diesel,Manual,1.6,149.0,18819
Ford,2011,193071.0,Petrol,Automatic,3.3,275.0,3500
Honda,2019,78022.0,Petrol,Manual,3.4,299.0,22917
Toyota,2019,53840.0,Petrol,Automatic,2.0,175.0,18262
Audi,2021,61743.0,Diesel,Automatic,4.9,356.0,53514
BMW,2018,105060.0,Petrol,Manual,4.6,334.0,36281
Ford,2013,41743.0,Petrol,Automatic,4.7,301.0,16752
Tesla,2016,173430.0,Diesel,Automatic,3.9,328.0,42894
Kia,2023,48312.0,Hybrid,Manual,1.8,217.0,26939
Nissan,2021,133417.0,Electric,Automatic,0.0,333.0,28093
Toyota,2019,86021.0,Electric,Automatic,0.0,369.0,33635
Ford,2013,74124.0,Diesel,Manual,4.8,315.0,15781
BMW,2014,141761.0,Petrol,Manual,3.1,242.0,19223
Honda,2024,20813.0,Diesel,Automatic,1.4,156.0,27536
Nissan,2023,24224.0,Electric,Automatic,0.0,233.0,36074
Hyundai,2018,81025.0,Petrol,Automatic,3.5,265.0,17758
Honda,2022,54669.0,Diesel,Automatic,2.2,169.0,23467
Toyota,2013,84304.0,Electric,Manual,0.0,295.0,12563
Tesla,2013,229526.0,Petrol,Automatic,2.0,215.0,24954
Kia,2014,111303.0,Petrol,Manual,4.8,373.0,21483
Mercedes-Benz,2018,119951.0,,Automatic,1.5,163.0,35566
Honda,2013,202586.0,Diesel,Manual,,214.0,3500
Volkswagen,2019,34945.0,Diesel,Automatic,3.1,273.0,19273
BMW,2017,153650.0,Petrol,Automatic,,200.0,31110
Toyota,2021,56375.0,,Manual,4.7,309.0,31506
Ford,2014,138256.0,Petrol,Automatic,1.5,158.0,3500
Tesla,2015,154474.0,Hybrid,Automatic,3.6,237.0,34962
Audi,2013,168751.0,Diesel,Automatic,1.2,125.0,13113
Hyundai,2015,127904.0,Electric,Manual,0.0,395.0,22249
Tesla,2018,66165.0,Electric,Automatic,0.0,306.0,54549
Ford,2012,176362.0,Petrol,Automatic,3.6,323.0,11404
Honda,2021,50217.0,Hybrid,Manual,3.7,301.0,34758
Ford,2020,23720.0,Electric,Manual,0.0,350.0,27876
Kia,2014,120748.0,Diesel,Manual,4.9,384.0,17361
Kia,2023,32134.0,Diesel,Automatic,4.7,396.0,44859
Mercedes-Benz,2019,58442.0,Petrol,Manual,4.7,389.0,48336
Chevrolet,2021,65847.0,Hybrid,Automatic,2.8,288.0,31738
Mercedes-Benz,2019,63113.0,Petrol,Manual,4.3,390.0,48128
Mercedes-Benz,2022,29012.0,Hybrid,Manual,4.1,273.0,51981
Chevrolet,2013,165347.0,Petrol,Automatic,4.7,435.0,20263
Hyundai,2014,69680.0,Electric,Automatic,0.0,219.0,11120
Audi,2018,149816.0,Diesel,Automatic,3.6,267.0,38361
Honda,2024,18089.0,Petrol,Automatic,2.7,255.0,36007
Kia,2022,32265.0,,Automatic,2.3,250.0,30273
Ford,2013,103473.0,Hybrid,Manual,1.6,175.0,3500
Honda,2017,100283.0,Hybrid,Manual,3.6,363.0,21641
Ford,2022,69401.0,Diesel,Automatic,1.4,154.0,19911
Hyundai,2018,76280.0,Hybrid,Automatic,2.5,169.0,17145
Nissan,2012,224258.0,Petrol,Manual,4.3,345.0,3500
Hyundai,2017,41927.0,Petrol,Automatic,4.9,241.0,17902
Chevrolet,2015,209334.0,Hybrid,Automatic,3.2,354.0,16441
Chevrolet,2019,28696.0,Diesel,Manual,2.7,234.0,21773
Nissan,2014,173400.0,Diesel,Manual,3.3,245.0,3500
Tesla,2023,45784.0,Diesel,Manual,4.6,432.0,71480
BMW,2014,76359.0,Diesel,Manual,3.7,359.0,34623
Audi,2013,125913.0,Petrol,Automatic,2.3,194.0,21655
Chevrolet,2019,25790.0,Petrol,Automatic,4.7,224.0,17717
BMW,2012,203106.0,Hybrid,Automatic,4.3,356.0,31664
Toyota,2015,94305.0,Electric,Automatic,0.0,346.0,21100
Audi,2017,76481.0,Electric,Automatic,0.0,331.0,46354
Hyundai,2013,133812.0,Petrol,Automatic,3.4,343.0,11781
BMW,2023,61239.0,Electric,Automatic,0.0,208.0,44373
Ford,2020,110299.0,Diesel,Manual,2.4,217.0,19697
Chevrolet,2016,88844.0,Petrol,Automatic,4.0,312.0,21418
Honda,2020,55295.0,,Automatic,2.6,241.0,22113
Chevrolet,2020,34162.0,Diesel,Manual,4.0,222.0,23772
Audi,2022,46099.0,Petrol,Automatic,2.5,247.0,44729
Honda,2017,53759.0,Diesel,Automatic,4.9,338.0,29387
Audi,2016,36032.0,Petrol,Automatic,2.9,241.0,38466
Chevrolet,2016,140055.0,Petrol,Manual,4.2,299.0,18831
Toyota,2011,141472.0,Diesel,Automatic,3.8,273.0,4127
Honda,2011,206845.0,Diesel,Automatic,1.9,185.0,3500
Audi,2024,53522.0,Petrol,Automatic,4.9,399.0,61587
BMW,2017,196453.0,Diesel,Manual,3.1,226.0,23194
Audi,2015,73288.0,Electric,Manual,0.0,346.0,45140
Chevrolet,2013,141018.0,Diesel,Automatic,3.3,265.0,4600
Ford,2015,195984.0,Petrol,Manual,4.9,445.0,15777
Honda,2024,29866.0,Hybrid,Automatic,,,31267
Hyundai,2024,9847.0,Hybrid,Automatic,2.8,238.0,38389
Kia,2012,137457.0,Hybrid,Automatic,4.7,437.0,17223
Ford,2024,30617.0,Petrol,Automatic,4.7,288.0,36224
Chevrolet,2011,181064.0,Petrol,Automatic,4.6,388.0,10174
Volkswagen,2019,157100.0,Hybrid,Automatic,2.4,196.0,20924
Volkswagen,2016,117412.0,Hybrid,Automatic,1.7,201.0,16710
Nissan,2014,83123.0,Hybrid,Manual,4.7,313.0,19209
Toyota,2018,75313.0,Diesel,Automatic,2.9,285.0,20945
Hyundai,2014,120810.0,Diesel,Manual,4.9,455.0,22264
Nissan,2022,86649.0,Diesel,Automatic,2.7,234.0,29969
Mercedes-Benz,2020,96073.0,Diesel,Automatic,2.5,237.0,39134
Mercedes-Benz,2017,85349.0,Petrol,Automatic,1.5,181.0,30264
Kia,2014,169348.0,Petrol,Automatic,1.6,199.0,3500
Kia,2021,67504.0,Hybrid,Manual,2.4,182.0,18798
BMW,2012,173829.0,Diesel,Automatic,1.3,134.0,12817
Hyundai,2017,102684.0,Hybrid,Manual,2.4,,8199
Volkswagen,2021,59830.0,Petrol,Manual,1.5,172.0,14008
Audi,2021,11087.0,Electric,Automatic,0.0,289.0,45863
Mercedes-Benz,2023,48967.0,Electric,Automatic,0.0,380.0,57318
Mercedes-Benz,2017,173496.0,Petrol,Automatic,3.2,227.0,32943
Toyota,2022,63443.0,Electric,Automatic,0.0,293.0,34949
Nissan,2019,102364.0,Electric,Manual,0.0,257.0,16497
Kia,2011,130855.0,Electric,Automatic,0.0,220.0,5446
Hyundai,2022,19471.0,Petrol,Automatic,1.6,154.0,17970
BMW,2024,24826.0,Petrol,Automatic,2.7,238.0,48209
Kia,2022,63714.0,Petrol,Manual,3.3,194.0,19712
Kia,2022,54173.0,Petrol,Automatic,4.0,214.0,23816
Mercedes-Benz,2017,126193.0,Hybrid,Automatic,3.8,321.0,45499
Toyota,2014,67131.0,Hybrid,Automatic,1.4,176.0,14404
Hyundai,2015,117757.0,Hybrid,Automatic,4.2,343.0,21511
Toyota,2024,22411.0,Petrol,Manual,4.4,358.0,41380
Mercedes-Benz,2021,95775.0,Petrol,Automatic,4.4,229.0,46988
Audi,2015,164017.0,Diesel,Automatic,1.5,167.0,24061
Toyota,2023,30140.0,Diesel,Automatic,4.3,222.0,33760
Kia,2018,141995.0,Diesel,Automatic,4.1,301.0,19598
Ford,2018,120204.0,Petrol,Automatic,4.8,407.0,26074
BMW,2019,85196.0,Diesel,Automatic,1.4,160.0,28857
Tesla,2016,93912.0,Electric,Automatic,0.0,339.0,52489
Ford,2020,68302.0,Hybrid,Manual,1.9,166.0,16103
Mercedes-Benz,2015,90938.0,Hybrid,Manual,2.6,256.0,31525
Hyundai,2021,70590.0,Electric,Manual,0.0,336.0,25977
BMW,2011,69631.0,Electric,Automatic,0.0,319.0,36279
Honda,2017,46268.0,Diesel,Manual,4.6,325.0,25937
Ford,2024,16647.0,Electric,Automatic,0.0,275.0,41157
Hyundai,2012,105133.0,Petrol,Automatic,1.3,151.0,3500
Toyota,2019,35557.0,Electric,Automatic,0.0,296.0,33788
Hyundai,2017,166604.0,Petrol,Automatic,2.0,185.0,3500
Chevrolet,2020,86329.0,Hybrid,Manual,4.1,302.0,27091
Honda,2015,225288.0,Diesel,Manual,3.2,328.0,11462
Ford,2020,56213.0,Diesel,Automatic,1.3,135.0,17622
Ford,2017,97264.0,Hybrid,Manual,4.3,315.0,27951
Toyota,2019,62791.0,Electric,Automatic,0.0,323.0,33852
BMW,2018,117339.0,Diesel,Automatic,3.0,296.0,38928
Mercedes-Benz,2014,51068.0,Petrol,Manual,2.7,228.0,28621
Chevrolet,2013,174818.0,Electric,Manual,0.0,307.0,8443
Ford,2021,61600.0,Petrol,Automatic,3.0,257.0,20306
Kia,2015,177243.0,Petrol,Manual,3.3,298.0,7310
Kia,2023,30380.0,Electric,Manual,0.0,351.0,40112
Hyundai,2024,14026.0,Electric,Automatic,0.0,358.0,43930
Toyota,2018,58850.0,Diesel,Automatic,2.6,273.0,24333
Mercedes-Benz,2013,88879.0,Hybrid,Automatic,1.9,188.0,30022
Honda,2013,114102.0,Diesel,Manual,1.3,157.0,3500
Honda,2013,211924.0,Diesel,Automatic,2.8,287.0,7674
Audi,2013,195951.0,Electric,Automatic,0.0,325.0,28890
Hyundai,2019,148610.0,Electric,Automatic,0.0,357.0,21904
Kia,2011,184232.0,Petrol,Automatic,,113.0,3500
Audi,2022,15602.0,Hybrid,Manual,2.9,213.0,46068
Audi,2017,152121.0,Petrol,Manual,4.3,310.0,34490
Ford,2023,33399.0,Electric,Manual,0.0,319.0,34425
Hyundai,2018,82928.0,Petrol,Automatic,3.5,169.0,11111
Tesla,2021,47111.0,Petrol,Automatic,4.4,397.0,62030
Honda,2021,52514.0,Petrol,Manual,1.9,179.0,14944
Chevrolet,2023,20193.0,Petrol,Automatic,2.0,176.0,21712
Tesla,2024,34290.0,Petrol,Manual,3.7,262.0,57763
Honda,2014,176542.0,Petrol,Automatic,3.1,227.0,4782
Hyundai,2012,144706.0,Electric,Automatic,0.0,292.0,10238
Audi,2015,116572.0,Petrol,Automatic,2.7,230.0,32414
Ford,2016,140059.0,Diesel,Manual,1.1,157.0,3500
Toyota,2016,78520.0,Diesel,Automatic,1.1,140.0,5217
Honda,2021,64373.0,Electric,Manual,0.0,372.0,36731
Audi,2019,66929.0,Electric,Automatic,,280.0,46283
Nissan,2015,190352.0,Electric,Manual,0.0,237.0,3684
Honda,2024,24685.0,Diesel,Manual,1.2,165.0,23861
Audi,2016,,Electric,Automatic,0.0,258.0,32041
Honda,2017,151210.0,Petrol,Automatic,2.6,217.0,12930
Hyundai,2011,117048.0,Petrol,Manual,3.7,339.0,9098
BMW,2015,164793.0,Hybrid,Automatic,2.4,192.0,24888
Mercedes-Benz,2015,151978.0,Petrol,Automatic,1.5,210.0,24086
Hyundai,2019,94039.0,Hybrid,Automatic,5.0,474.0,39036
Nissan,2013,122056.0,Diesel,Manual,4.7,351.0,9643
BMW,2014,124905.0,Petrol,Manual,1.8,180.0,14680
Ford,2012,210034.0,Petrol,Manual,4.0,362.0,5497
Chevrolet,2015,168478.0,Hybrid,Automatic,4.4,349.0,22713
Nissan,2015,126227.0,Electric,Manual,0.0,410.0,20407
Honda,2011,128618.0,Hybrid,Automatic,3.4,241.0,9125
Volkswagen,2011,181917.0,Diesel,Manual,2.6,223.0,3500
Chevrolet,2016,118561.0,Petrol,Automatic,2.7,239.0,17371
Tesla,2018,84614.0,Petrol,Automatic,2.0,245.0,40761
Honda,2012,156626.0,Diesel,Manual,4.3,396.0,22424
BMW,2018,83303.0,Hybrid,Manual,3.4,315.0,41803
Toyota,2020,71894.0,Petrol,Automatic,4.6,385.0,37165
Mercedes-Benz,2017,161084.0,Petrol,Manual,5.0,411.0,45633
Chevrolet,2012,105473.0,Petrol,Automatic,4.8,,13117
Ford,2013,186549.0,Electric,Manual,0.0,341.0,10056
Honda,2015,129504.0,Diesel,Manual,4.8,275.0,13565
Chevrolet,2016,121102.0,Diesel,Manual,1.2,131.0,3500
Kia,2014,133503.0,Diesel,Automatic,2.4,204.0,6689
Ford,2024,27066.0,Diesel,Automatic,4.2,358.0,45482
Nissan,2017,96649.0,Petrol,Automatic,1.5,163.0,3656
Tesla,2019,90846.0,Diesel,Automatic,4.4,289.0,53403
Honda,2023,47032.0,Diesel,Automatic,1.8,156.0,22062
Mercedes-Benz,2023,12701.0,Hybrid,Manual,2.2,236.0,54852
Tesla,2015,174324.0,Petrol,Automatic,1.2,143.0,24278
Hyundai,2017,125285.0,Diesel,Automatic,2.3,220.0,13076
Tesla,2024,35706.0,Petrol,Automatic,1.7,184.0,51578
Nissan,2017,138237.0,Electric,Manual,0.0,239.0,14004
BMW,2024,34096.0,Petrol,Manual,3.3,202.0,46648
Ford,2012,208072.0,Petrol,Automatic,4.5,461.0,17490
Kia,2011,332318.0,Hybrid,Manual,3.9,351.0,3500
Ford,2011,195830.0,Petrol,Automatic,1.9,178.0,3500
Toyota,2018,116101.0,Electric,Manual,0.0,,27631
Honda,2020,67761.0,Diesel,Manual,2.7,303.0,30188
Kia,2015,199236.0,Petrol,Manual,1.6,130.0,3500
Chevrolet,2022,73529.0,Petrol,Manual,1.0,126.0,15541
BMW,2021,62345.0,Petrol,Automatic,4.0,227.0,38855
Chevrolet,2014,172593.0,Petrol,Manual,3.2,291.0,7387
BMW,2022,87728.0,Petrol,Automatic,2.2,235.0,37710
Mercedes-Benz,2016,93764.0,Diesel,Automatic,1.4,174.0,31708
Nissan,2012,67540.0,Petrol,Automatic,1.4,151.0,3500
Volkswagen,2019,73556.0,Hybrid,Automatic,3.9,246.0,26522
Toyota,2019,88416.0,Diesel,Automatic,4.0,231.0,24085
BMW,2017,124438.0,Diesel,Manual,2.6,212.0,30080
Hyundai,2019,36780.0,Hybrid,Automatic,3.2,237.0,23881
Chevrolet,2023,27228.0,Diesel,Manual,3.4,217.0,32044
Chevrolet,2019,88295.0,Petrol,Automatic,4.5,256.0,20941
Nissan,2013,239184.0,Petrol,Manual,4.8,366.0,10350
Toyota,2022,60803.0,Petrol,Automatic,4.2,284.0,32048
Chevrolet,2023,64820.0,Diesel,Automatic,1.8,197.0,24257
Nissan,2024,12953.0,Hybrid,Manual,1.2,151.0,26144
Volkswagen,2017,55170.0,Petrol,Manual,1.4,137.0,5652
Volkswagen,2018,90792.0,Petrol,Manual,3.3,298.0,20641
Chevrolet,2023,15405.0,Electric,Automatic,0.0,312.0,41298
Audi,2011,173840.0,Electric,Automatic,0.0,324.0,27643
Ford,2018,101662.0,Diesel,Manual,2.0,199.0,10365
Tesla,2015,44567.0,Petrol,Automatic,3.0,251.0,44251
Chevrolet,2011,248618.0,Petrol,Automatic,1.1,152.0,3500
Kia,2019,107377.0,Petrol,Manual,1.4,160.0,6137
Tesla,2021,94503.0,Hybrid,Automatic,3.5,278.0,51332
BMW,2012,,Petrol,Manual,2.8,276.0,21416
Volkswagen,2021,26230.0,Electric,Automatic,0.0,377.0,43442
Chevrolet,2024,29804.0,Electric,Automatic,0.0,289.0,37544
Honda,2013,143587.0,Diesel,Manual,3.7,231.0,3500
Ford,2021,93523.0,Petrol,Automatic,1.8,210.0,19225
Volkswagen,2024,11005.0,Petrol,Automatic,3.3,281.0,39520
Kia,2014,153473.0,Petrol,Automatic,4.6,351.0,12239
Tesla,2013,176095.0,Hybrid,Manual,3.9,308.0,39611
Nissan,2023,66827.0,Hybrid,Automatic,3.7,265.0,35779
BMW,2021,75910.0,Diesel,Automatic,2.6,176.0,41022
Kia,2016,117191.0,Petrol,Manual,3.0,223.0,4236
BMW,2017,80466.0,Diesel,Automatic,2.6,178.0,32257
Nissan,2022,45784.0,Hybrid,Manual,4.2,401.0,40452
Nissan,2021,37787.0,Petrol,Automatic,2.0,195.0,20921
Hyundai,2024,27781.0,Hybrid,Manual,4.3,321.0,37803
Kia,2018,103907.0,Petrol,Automatic,3.8,366.0,23635
Audi,2019,112984.0,Electric,Manual,0.0,186.0,34450
Audi,2024,8829.0,Petrol,Automatic,3.0,270.0,52741
Ford,2021,52680.0,Hybrid,Manual,2.6,223.0,26953
Toyota,2015,206716.0,Petrol,Automatic,1.7,182.0,3500
Ford,2022,23513.0,Petrol,Automatic,2.4,200.0,20249
Chevrolet,2011,169719.0,Petrol,Automatic,4.3,287.0,8312
Audi,2020,82393.0,Diesel,Automatic,3.6,259.0,46112
Tesla,2024,25118.0,Diesel,Automatic,4.4,204.0,58850
Honda,2011,185698.0,Hybrid,Manual,3.6,295.0,9374
Nissan,2012,127443.0,Diesel,Manual,,191.0,3500
Mercedes-Benz,2016,186390.0,Hybrid,Manual,4.0,260.0,33533
Volkswagen,2015,96222.0,Diesel,Automatic,5.0,456.0,30455
Ford,2014,139942.0,Petrol,Automatic,1.7,166.0,3500
Mercedes-Benz,2011,220225.0,Diesel,Manual,3.4,236.0,19718
Tesla,2011,228136.0,Electric,Automatic,0.0,275.0,27130
Audi,2021,68911.0,Petrol,Automatic,2.9,280.0,44929
Mercedes-Benz,2014,104192.0,Petrol,Manual,4.1,345.0,34397
BMW,2019,75750.0,Petrol,Manual,4.1,324.0,40282
BMW,2015,166055.0,Hybrid,Automatic,3.6,336.0,35055
Hyundai,2015,76736.0,Petrol,Automatic,1.5,177.0,5253
Nissan,2019,60670.0,Diesel,Manual,2.0,181.0,13503
Ford,2018,127285.0,Petrol,Manual,1.4,168.0,3500
BMW,2011,186254.0,Electric,Manual,0.0,310.0,27109
Tesla,2019,,Electric,Manual,0.0,373.0,56409
Honda,2016,119655.0,Electric,Manual,0.0,387.0,27520
Tesla,2011,135646.0,Electric,Automatic,0.0,242.0,33821
Honda,2017,89310.0,Petrol,Manual,4.4,354.0,23647
Volkswagen,2013,138162.0,Diesel,Manual,3.4,304.0,9411
Audi,2019,25402.0,Petrol,Automatic,4.5,377.0,49692
Volkswagen,2014,103270.0,Petrol,Automatic,1.9,176.0,6769
Honda,2015,154706.0,Hybrid,Automatic,4.5,364.0,22671
Nissan,2018,61254.0,Petrol,Manual,1.0,124.0,8434
Honda,2014,188235.0,Diesel,Manual,2.1,167.0,3500
Ford,2012,192815.0,Electric,Automatic,0.0,232.0,8529
Tesla,2023,49292.0,Diesel,Manual,1.4,181.0,50960
Chevrolet,2018,131797.0,Petrol,Automatic,4.2,299.0,21130
Toyota,2017,139334.0,Diesel,Manual,4.9,,22502
Ford,2021,85788.0,Petrol,Automatic,3.4,342.0,29584
Ford,2023,39605.0,Hybrid,Automatic,2.1,216.0,32687
Mercedes-Benz,2014,169397.0,Petrol,Automatic,,217.0,25125
Volkswagen,2023,21357.0,Diesel,Manual,4.2,296.0,41201
Honda,2020,64768.0,Diesel,Manual,1.7,174.0,17470
Mercedes-Benz,2017,103835.0,Hybrid,Automatic,2.8,239.0,39149
Mercedes-Benz,2012,191853.0,Diesel,Automatic,3.5,269.0,26314
Hyundai,2019,61431.0,Diesel,Manual,4.5,467.0,32836
Honda,2021,86358.0,Diesel,Manual,4.9,410.0,36861
Tesla,2015,235642.0,Diesel,Automatic,2.1,217.0,27897
Nissan,2021,48548.0,Petrol,Manual,2.8,276.0,21357
Honda,2017,121786.0,Petrol,Manual,2.6,231.0,9399
Kia,2021,86304.0,Diesel,Automatic,2.3,221.0,22065
Kia,2014,92323.0,Hybrid,Automatic,2.8,239.0,13144
Chevrolet,2014,183383.0,Petrol,Manual,2.3,248.0,3500
Ford,2012,122853.0,Diesel,Automatic,2.7,223.0,7626
Audi,2021,68303.0,Hybrid,Manual,4.1,324.0,57159
Toyota,2011,249145.0,Hybrid,Automatic,3.9,,9588
Honda,2019,84644.0,Petrol,Manual,1.7,154.0,9833
Mercedes-Benz,2015,185730.0,Electric,Automatic,,320.0,34737
Hyundai,2012,144717.0,Petrol,Manual,3.4,330.0,7607
Mercedes-Benz,2020,78750.0,Petrol,Automatic,2.5,223.0,41022
Nissan,2017,138251.0,Petrol,Manual,1.3,173.0,5428
Ford,2013,169717.0,Petrol,Automatic,3.8,319.0,11247
Audi,2013,,Electric,Automatic,0.0,336.0,37316
Volkswagen,2016,180753.0,Petrol,Manual,1.4,139.0,3500
Chevrolet,2019,86522.0,Petrol,Automatic,2.4,212.0,17733
Audi,2022,35695.0,Hybrid,Automatic,1.6,173.0,44112
BMW,2017,79343.0,Diesel,Manual,3.1,212.0,32008
Hyundai,2014,102110.0,Petrol,Manual,4.6,310.0,9044
Volkswagen,2018,43767.0,Petrol,Automatic,,387.0,34446
Chevrolet,2017,133764.0,Petrol,Automatic,1.4,145.0,3500
Honda,2020,50866.0,Petrol,Automatic,2.4,181.0,16536
Ford,2012,221691.0,Electric,Automatic,0.0,296.0,4893
Hyundai,2017,127216.0,Diesel,Manual,1.4,151.0,6265
